model,visual_video_id,qtype,gold,pred,correct,raw
internvl3,162011_2021110318341447,bus,yes,yes,1,Yes.
internvl3,24011_2021110218251011,bus,yes,yes,1,Yes.
internvl3,73011_2021110407122671,bus,yes,yes,1,Yes.
internvl3,134022_2021110409213446,bus,yes,yes,1,Yes.
internvl3,12011_2021110419020563,bus,yes,yes,1,Yes.
internvl3,103011_2021110318425344,bus,yes,yes,1,Yes.
internvl3,43011_2021090909103450,bus,yes,yes,1,Yes.
internvl3,152011_2021110408144309,bus,yes,yes,1,Yes.
internvl3,122011_2021110419124762,bus,yes,yes,1,Yes.
internvl3,123011_2021090906540700,bus,yes,yes,1,Yes.
internvl3,32011_2021090908065051,bus,yes,yes,1,Yes.
internvl3,91022_2021090907095222,bus,yes,yes,1,Yes.
internvl3,13022_2021090814270784,bus,yes,yes,1,Yes.
internvl3,91022_2021090906371376,bus,yes,yes,1,Yes.
internvl3,93011_2021090908452561,bus,yes,yes,1,Yes.
internvl3,12011_2021110219013619,bus,yes,yes,1,Yes.
internvl3,63022_2021110314332930,bus,yes,yes,1,Yes.
internvl3,53011_2021110218142116,bus,yes,yes,1,Yes.
internvl3,94022_2021110409310514,bus,yes,yes,1,Yes.
internvl3,93022_2021110217325124,bus,yes,no,0,No.
internvl3,12011_2021110314020363,bus,yes,yes,1,Yes.
internvl3,151011_2021110417405400,bus,yes,yes,1,Yes.
internvl3,153011_2021110414472903,bus,yes,yes,1,Yes.
internvl3,141011_2021110318015413,bus,yes,yes,1,Yes.
internvl3,151011_2021090813560780,bus,yes,yes,1,Yes.
internvl3,113022_2021110218292550,bus,yes,yes,1,Yes.
internvl3,12011_2021110319184825,bus,yes,yes,1,Yes.
internvl3,94011_2021090906265268,bus,yes,yes,1,Yes.
internvl3,151011_2021090908505303,bus,yes,yes,1,Yes.
internvl3,144011_2021090815512700,bus,yes,yes,1,Yes.
internvl3,114011_2021110320260233,bus,no,no,1,No.
internvl3,114011_2021110407185312,bus,no,no,1,No.
internvl3,164011_2021110409341140,bus,no,no,1,No.
internvl3,82011_2021110420115127,bus,no,yes,0,Yes.
internvl3,111022_2021090814113728,bus,no,yes,0,Yes.
internvl3,44022_2021110217365087,bus,no,yes,0,Yes.
internvl3,11011_2021110220310303,bus,no,yes,0,Yes.
internvl3,114022_2021110407185210,bus,no,yes,0,Yes.
internvl3,31022_2021090907484870,bus,no,no,1,No.
internvl3,163011_2021110408402970,bus,no,no,1,No.
internvl3,43011_2021110315285650,bus,no,yes,0,Yes.
internvl3,41022_2021110406552830,bus,no,yes,0,Yes.
internvl3,94022_2021090906475081,bus,no,yes,0,Yes.
internvl3,54011_2021110409241183,bus,no,no,1,No.
internvl3,93011_2021110419292153,bus,no,yes,0,Yes.
internvl3,122022_2021110415144199,bus,no,yes,0,Yes.
internvl3,14011_2021110315070877,bus,no,yes,0,Yes.
internvl3,131011_2021110407242097,bus,no,no,1,No.
internvl3,132022_2021110218415617,bus,no,yes,0,Yes.
internvl3,114011_2021110220333174,bus,no,no,1,No.
internvl3,132022_2021110406404285,bus,no,no,1,No.
internvl3,112011_2021090813564810,bus,no,no,1,No.
internvl3,84011_2021090813565050,bus,no,no,1,No.
internvl3,94011_2021110318204016,bus,no,yes,0,Yes.
internvl3,92011_2021110419211984,bus,no,yes,0,Yes.
internvl3,32011_2021110318101153,bus,no,yes,0,Yes.
internvl3,64011_2021090815374409,bus,no,no,1,No.
internvl3,21022_2021110413495167,bus,no,no,1,No.
internvl3,112022_2021110408235271,bus,no,yes,0,Yes.
internvl3,122011_2021090815024260,bus,no,no,1,No.
internvl3,142022_2021090907355900,stopped,yes,yes,1,Yes.
internvl3,72011_2021090815254383,stopped,yes,yes,1,Yes.
internvl3,111011_2021090815283810,stopped,yes,yes,1,Yes.
internvl3,142022_2021090906582283,stopped,yes,yes,1,Yes.
internvl3,144011_2021090814292653,stopped,yes,yes,1,Yes.
internvl3,84011_2021090909325150,stopped,yes,yes,1,Yes.
internvl3,12022_2021090906513190,stopped,yes,yes,1,Yes.
internvl3,102011_2021090909113922,stopped,yes,yes,1,Yes.
internvl3,144022_2021090815001130,stopped,yes,yes,1,Yes.
internvl3,41011_2021090813583453,stopped,yes,yes,1,Yes.
internvl3,44022_2021090815145050,stopped,yes,yes,1,Yes.
internvl3,34011_2021090815091141,stopped,yes,yes,1,Yes.
internvl3,71011_2021090816083551,stopped,yes,yes,1,Yes.
internvl3,121022_2021090814455236,stopped,yes,yes,1,Yes.
internvl3,134011_2021090909193583,stopped,yes,yes,1,Yes.
internvl3,134022_2021090907510235,stopped,yes,yes,1,Yes.
internvl3,43011_2021090907250503,stopped,yes,yes,1,Yes.
internvl3,14022_2021090815234813,stopped,yes,yes,1,Yes.
internvl3,153011_2021090814144806,stopped,yes,yes,1,Yes.
internvl3,163011_2021090908380003,stopped,yes,yes,1,Yes.
internvl3,63011_2021090814572235,stopped,yes,yes,1,Yes.
internvl3,91022_2021090815232994,stopped,yes,yes,1,Yes.
internvl3,54011_2021090906405243,stopped,yes,yes,1,Yes.
internvl3,141011_2021090909393824,stopped,yes,yes,1,Yes.
internvl3,64011_2021090815410912,stopped,yes,yes,1,Yes.
