predicate,selectivity,strategy,recall_at_10,p50_ms,p95_ms,build_s,index_mb,build_amortized,frac_short
hour = 6,0.0416,global_where_off,1.0,7.747,8.108,26.0,153.7,True,0.0
hour = 6,0.0416,global_where_relaxed_order,1.0,7.779,8.231,26.0,153.7,True,0.0
hour BETWEEN 7 AND 7,0.0417,global_where_off,1.0,7.704,8.119,26.0,153.7,True,0.0
hour BETWEEN 7 AND 7,0.0417,global_where_relaxed_order,1.0,7.618,7.981,26.0,153.7,True,0.0
hour BETWEEN 6 AND 9,0.1666,global_where_off,0.6141,0.403,0.517,26.0,153.7,True,0.665
hour BETWEEN 6 AND 9,0.1666,global_where_relaxed_order,0.9956,0.681,1.173,26.0,153.7,True,0.0
hour BETWEEN 6 AND 12,0.2917,global_where_off,0.77,0.464,0.583,26.0,153.7,True,0.475
hour BETWEEN 6 AND 12,0.2917,global_where_relaxed_order,0.9939,0.576,0.904,26.0,153.7,True,0.0
hour BETWEEN 6 AND 18,0.5415,global_where_off,0.8998,0.472,0.571,26.0,153.7,True,0.255
hour BETWEEN 6 AND 18,0.5415,global_where_relaxed_order,0.9959,0.54,0.825,26.0,153.7,True,0.0
hour BETWEEN 6 AND 21,0.6665,global_where_off,0.9375,0.426,0.531,26.0,153.7,True,0.14
hour BETWEEN 6 AND 21,0.6665,global_where_relaxed_order,0.9973,0.496,0.656,26.0,153.7,True,0.0
hour = 6,0.0416,partial_local,1.0,0.343,0.417,0.6,6.41,False,0.0
hour BETWEEN 7 AND 7,0.0417,partial_local,0.9999,0.318,0.416,0.61,6.42,False,0.0
hour BETWEEN 6 AND 9,0.1666,partial_local,0.9992,0.384,0.483,2.82,25.61,False,0.0
hour BETWEEN 6 AND 12,0.2917,partial_local,0.9981,0.394,0.489,5.52,44.85,False,0.0
hour BETWEEN 6 AND 18,0.5415,partial_local,0.9979,0.442,0.561,11.66,83.24,False,0.0
hour BETWEEN 6 AND 21,0.6665,partial_local,0.9991,0.485,0.6,15.75,102.45,False,0.0
