query_id,relevance_def,coupling,filter_arity,subset_size_KG,subset_eq_B4_prefilter,kg_entity_ranked_ndcg_strict,kg_entity_ranked_ndcg_semantic,random_within_filter_floor_strict,random_within_filter_floor_semantic,n_entity_present_in_subset
522vis:low:0001,parked_vehicle,low,1,1001,True,0.0,0.0,0.039,0.039,87
522vis:low:0002,parked_vehicle,low,1,997,True,0.0,0.0,0.036,0.036,136
522vis:low:0003,dense_frame,low,1,1002,True,0.13,0.13,0.012,0.012,108
522vis:low:0004,dense_frame,low,1,1001,True,0.486,0.486,0.022,0.022,97
522vis:low:0005,dense_frame,low,1,997,True,0.363,0.363,0.027,0.027,128
522vis:low:0006,multiple_buses,low,1,1002,True,0.0,0.0,0.093,0.093,631
522vis:low:0007,multiple_buses,low,1,1001,True,0.315,0.315,0.077,0.077,617
522vis:low:0008,multiple_buses,low,1,997,True,0.0,0.0,0.081,0.081,695
522vis:contrast:0009,stopped_vehicles,contrast,1,1001,True,0.588,0.588,0.389,0.389,204
522vis:contrast:0010,stopped_vehicles,contrast,1,997,True,0.22,0.22,0.256,0.256,204
522vis:low:0011,two_plus_bikes,low,1,1002,True,0.393,0.393,0.187,0.187,214
522vis:low:0012,two_plus_bikes,low,1,1001,True,0.0,0.0,0.021,0.021,118
522vis:low:0013,two_plus_bikes,low,1,997,True,0.11,0.11,0.149,0.149,260
522vis:low:0014,parked_vehicle,low,1,364,True,0.0,0.0,0.063,0.063,49
522vis:low:0015,parked_vehicle,low,1,302,True,0.0,0.0,0.034,0.034,21
522vis:low:0016,parked_vehicle,low,1,297,True,0.0,0.0,0.035,0.035,43
522vis:low:0017,parked_vehicle,low,1,270,True,0.064,0.064,0.032,0.032,34
522vis:low:0018,parked_vehicle,low,1,244,True,0.0,0.0,0.039,0.029,12
522vis:low:0019,parked_vehicle,low,1,185,True,0.078,0.078,0.056,0.056,20
522vis:low:0020,dense_frame,low,1,389,True,0.113,0.073,0.018,0.011,55
522vis:low:0021,dense_frame,low,1,364,True,0.235,0.22,0.032,0.03,38
522vis:low:0022,dense_frame,low,1,297,True,0.274,0.274,0.048,0.048,39
522vis:low:0023,dense_frame,low,1,270,True,0.344,0.344,0.042,0.042,33
522vis:low:0024,dense_frame,low,1,185,True,0.384,0.384,0.06,0.06,27
522vis:low:0025,multiple_buses,low,1,389,True,0.0,0.0,0.088,0.088,264
522vis:low:0026,multiple_buses,low,1,384,True,0.078,0.078,0.095,0.095,247
522vis:low:0027,multiple_buses,low,1,364,True,0.069,0.069,0.084,0.084,247
522vis:low:0028,multiple_buses,low,1,302,True,0.085,0.085,0.052,0.052,192
522vis:low:0029,multiple_buses,low,1,297,True,0.095,0.095,0.114,0.114,209
522vis:low:0030,multiple_buses,low,1,270,True,0.22,0.22,0.07,0.07,173
522vis:low:0031,multiple_buses,low,1,244,True,0.22,0.22,0.08,0.08,127
522vis:low:0032,multiple_buses,low,1,229,True,0.078,0.078,0.052,0.052,120
522vis:low:0033,multiple_buses,low,1,223,True,0.0,0.0,0.06,0.06,161
522vis:low:0034,multiple_buses,low,1,185,True,0.0,0.0,0.101,0.101,125
522vis:contrast:0035,stopped_vehicles,contrast,1,364,True,0.273,0.273,0.337,0.337,85
522vis:contrast:0036,stopped_vehicles,contrast,1,302,True,0.457,0.457,0.429,0.429,59
522vis:contrast:0037,stopped_vehicles,contrast,1,297,True,0.371,0.371,0.31,0.31,65
522vis:contrast:0038,stopped_vehicles,contrast,1,270,True,0.6,0.6,0.432,0.432,81
522vis:contrast:0039,stopped_vehicles,contrast,1,244,True,0.798,0.798,0.283,0.283,21
522vis:contrast:0040,stopped_vehicles,contrast,1,185,True,0.492,0.492,0.434,0.434,43
522vis:contrast:0041,stopped_vehicles,contrast,1,58,True,0.064,0.064,0.218,0.218,9
522vis:contrast:0042,stopped_vehicles,contrast,1,55,True,0.145,0.145,0.225,0.225,5
522vis:low:0043,two_plus_bikes,low,1,389,True,0.078,0.078,0.179,0.179,89
522vis:low:0044,two_plus_bikes,low,1,384,True,0.551,0.551,0.177,0.177,73
522vis:low:0045,two_plus_bikes,low,1,364,True,0.133,0.133,0.157,0.157,101
522vis:low:0046,two_plus_bikes,low,1,302,True,0.0,0.0,0.04,0.04,30
522vis:low:0047,two_plus_bikes,low,1,297,True,0.188,0.188,0.123,0.123,74
522vis:low:0048,two_plus_bikes,low,1,270,True,0.0,0.0,0.027,0.018,40
522vis:low:0049,two_plus_bikes,low,1,229,True,0.22,0.22,0.186,0.186,52
522vis:low:0050,two_plus_bikes,low,1,223,True,0.368,0.368,0.171,0.171,61
522vis:low:0051,two_plus_bikes,low,1,185,True,0.0,0.0,0.051,0.04,28
522vis:low:0052,two_plus_bikes,low,1,58,True,0.149,0.149,0.177,0.177,13
522vis:low:0053,two_plus_bikes,low,1,55,True,0.377,0.274,0.141,0.102,11
522vis:low:0054,parked_vehicle,low,1,2121,True,0.0,0.0,0.023,0.023,212
522vis:low:0055,parked_vehicle,low,1,879,True,0.0,0.0,0.029,0.029,84
522vis:low:0056,dense_frame,low,1,2121,True,0.0,0.0,0.032,0.032,290
522vis:low:0057,multiple_buses,low,1,2121,True,0.315,0.315,0.101,0.101,1496
522vis:low:0058,multiple_buses,low,1,879,True,0.0,0.0,0.036,0.036,447
522vis:low:0059,stopped_vehicles,low,1,2121,True,0.359,0.359,0.2,0.2,386
