candidate,baseline,dataset,scoring,strategy,queries,mean_delta_ndcg10,ci_lo,ci_hi,wins,ties,losses
qwen3vl_8b,qwen25vl_7b,522,strict,B0_metadata_only,85,0.0,0.0,0.0,0,85,0
qwen3vl_8b,qwen25vl_7b,522,semantic,B0_metadata_only,85,0.0,0.0,0.0,0,85,0
qwen3vl_8b,qwen25vl_7b,522,strict,B1_bm25_only,85,0.02097639016945621,0.0011607003704494252,0.04296737051407297,16,58,11
qwen3vl_8b,qwen25vl_7b,522,semantic,B1_bm25_only,85,0.0899550155962459,0.04844645919461856,0.13367516333769,31,23,31
qwen3vl_8b,qwen25vl_7b,522,strict,B2_vector_only,85,0.03478445556560272,0.00659936190842578,0.06473065336142342,33,37,15
qwen3vl_8b,qwen25vl_7b,522,semantic,B2_vector_only,85,0.07189936418226599,0.028805620294863173,0.1163575078764771,41,11,33
qwen3vl_8b,qwen25vl_7b,522,strict,B3_vector_postfilter,85,0.11809443322667793,0.076603053857657,0.16160917999027685,56,11,18
qwen3vl_8b,qwen25vl_7b,522,semantic,B3_vector_postfilter,85,0.11881909435260637,0.07693010842571019,0.16194782407957697,56,11,18
qwen3vl_8b,qwen25vl_7b,522,strict,B4_prefilter_vector,85,0.119003638840733,0.07697241953028931,0.16177511986024404,58,10,17
qwen3vl_8b,qwen25vl_7b,522,semantic,B4_prefilter_vector,85,0.11938252484259282,0.07756547814654466,0.16381025824024203,58,10,17
qwen3vl_8b,qwen25vl_7b,522,strict,B5_hybrid,85,0.07591851132419675,0.032278998905008606,0.12138120640429678,49,11,25
qwen3vl_8b,qwen25vl_7b,522,semantic,B5_hybrid,85,0.07536098082163563,0.03142904886763578,0.11948952066584491,49,11,25
qwen3vl_8b,qwen25vl_7b,meva,strict,B0_metadata_only,193,0.0,0.0,0.0,0,193,0
qwen3vl_8b,qwen25vl_7b,meva,semantic,B0_metadata_only,193,0.0,0.0,0.0,0,193,0
qwen3vl_8b,qwen25vl_7b,meva,strict,B1_bm25_only,193,0.03717501114726649,0.013273596347405539,0.06159810849162331,53,96,44
qwen3vl_8b,qwen25vl_7b,meva,semantic,B1_bm25_only,193,0.15192073470242454,0.09895182381287979,0.20620747390079594,93,28,72
qwen3vl_8b,qwen25vl_7b,meva,strict,B2_vector_only,193,0.1012745934566111,0.0759040143999197,0.1287464680345813,91,89,13
qwen3vl_8b,qwen25vl_7b,meva,semantic,B2_vector_only,193,0.35126697882137187,0.30242459347877126,0.4003025049479283,139,30,24
qwen3vl_8b,qwen25vl_7b,meva,strict,B3_vector_postfilter,193,0.27967255075407177,0.23630099723509995,0.3237136851251701,134,21,38
qwen3vl_8b,qwen25vl_7b,meva,semantic,B3_vector_postfilter,193,0.2689558585961855,0.22634941544160292,0.3124607428718834,134,21,38
