replicate,dose,relevance_def,population_edges,selected_edges,selected_clip_ids_sha256
0,0.0,parked_vehicle,69,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,0.0,dense_frame,70,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,0.0,multiple_buses,247,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,0.0,stopped_vehicles,636,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,0.0,two_plus_bikes,345,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,0.25,parked_vehicle,69,17,abb74babb53a8e82ec7ab8c86ba55c587312da3c169fdd4ab12d7b9f582d8a6e
0,0.25,dense_frame,70,17,397399736be7a11e612f000bbc29f50a4aa1da230300bc54a1dff818fb2cddcf
0,0.25,multiple_buses,247,61,d012fe3ff95be6b65dc7c3d4be94ded48c9f399a509af26db127f5e05d4d6d1d
0,0.25,stopped_vehicles,636,159,3e9bbf73dbb39c6df462421a2818226fdce2af213923808574014fb038f5ab95
0,0.25,two_plus_bikes,345,86,ca179ad308e67beef4a9b8349b71b848c0f5198db53efd895c4a495169ab1f68
1,0.25,parked_vehicle,69,17,5ca281971cad1913e9c64b286d5732dc8bdc2ccd5dc42ed6bb11c4c572c7816c
1,0.25,dense_frame,70,17,eb6ab52b06a0cd3d93f67b53fb5ea5e6569b448b4b76e5b51421822bca623ab3
1,0.25,multiple_buses,247,61,4aeace2e8b323844e549b8893d075d0c68c2d9a738d81d2fb95401f86296c9e8
1,0.25,stopped_vehicles,636,159,20b208118c97e107cd913e320ed87fd6c7944e1ef799d8c261268a267d2d70ee
1,0.25,two_plus_bikes,345,86,26fef45feb7a726b3b47208d16c8db0b1b56d77a4ae23e618b65afb36368553f
2,0.25,parked_vehicle,69,17,c32fbda482533dee067e7ed0d90875a3b6510272f5b8bea86e9b164daed8f98e
2,0.25,dense_frame,70,17,6fc212c1418b936c7b488d28df59654d406d250cd53799c1dc9b1306cc702f61
2,0.25,multiple_buses,247,61,e000a197cfaa7f930c7cbb03e7bdf3104953642b530e2d8b5cb998325654c222
2,0.25,stopped_vehicles,636,159,2f9cefc5c3941f5d91eb43917e3444b2df9f4d5f2d7bbfc552afedcc8e87cc99
2,0.25,two_plus_bikes,345,86,507fbc417360878b4b03ddb4229ff72c5c9cfa5412448cff15c70911db610d39
3,0.25,parked_vehicle,69,17,c02ec271c2ea62a90c7f84cf2f29d844e845f0110ac4e795d26329c7cc51f451
3,0.25,dense_frame,70,17,ead930e4f6ecce3f4febad7b309f6a584645add6d4b7908a7a1ecc9af987387a
3,0.25,multiple_buses,247,61,f34e95eb4314150521c2356d73385f875855518f3468b98c2672ce7aabe4920f
3,0.25,stopped_vehicles,636,159,e2730b058856f101f89a8dd58559e452fa25b1ec28628b3552504783aac5d265
3,0.25,two_plus_bikes,345,86,1a253f77e09ffb0f58135b9e6209fe7fd1d5068bf2a000bdca811d2153bcc19a
4,0.25,parked_vehicle,69,17,e4e2c0ef5538fcbe73cb8cd1d408ffd2b84561c304a61189ff72c74c1d0a8124
4,0.25,dense_frame,70,17,4ab2d87d2d3c8e3fcf18098dc6a62377b5bc7fccbd85dedb7985c5f0706ffc45
4,0.25,multiple_buses,247,61,5e0c75e32eb95d01403f9cc44cc8a8f2957e41c348db44365ca52db1aa63717e
4,0.25,stopped_vehicles,636,159,361d67f35a8d049ffa68aac2a7eacb403103d0004e6c832cd4ab8ecfc69db9d9
4,0.25,two_plus_bikes,345,86,3768ea0cefc09ce3069ce3998131b7ffe552e046e401a75c666f018ce010796c
5,0.25,parked_vehicle,69,17,8d61cf4e7031edd3985e73c6812e865188f4db65bd8891897d5aadc9c4c743f4
5,0.25,dense_frame,70,17,9df853d283284ce11ecaf46ac224428b4b9da28f5ed2658a2283dcbab781732b
5,0.25,multiple_buses,247,61,138e189e42e60c93278a0fbd8655caef03db6edb3d0f0f78331a7998b3f0f385
5,0.25,stopped_vehicles,636,159,72b894c10371bc2ee487436c090fbb3aa6f073287bf79d3f095ca37abba7e413
5,0.25,two_plus_bikes,345,86,e650fc130bf627d1f3de5d9c5a80b52326f49ebc633ab656e6348d9bfaacb666
6,0.25,parked_vehicle,69,17,e098583b8faa7ef065db48884db6bae32eeae48fd62c94b37967efb4aae64f10
6,0.25,dense_frame,70,17,06273805b20bb6014d9a41d4cd5a13bd87994cdc5a4a258b443b8fafd6a674e0
6,0.25,multiple_buses,247,61,17c99046927903f5a2993c54f6d14ee3ab16fdc121cea08d32a82179788c52f8
6,0.25,stopped_vehicles,636,159,92495f6a3bcfbb8804c5bbf46f0e9e7a23acf099c924bb2efd73f50857b4ba38
6,0.25,two_plus_bikes,345,86,494adfd6cf37a0ed0c75c32d4a74e22c30b95833771a3f735f7a1375c5e4c86e
7,0.25,parked_vehicle,69,17,023e63392e8850aa1975b858d367530889ebea64164917f54e5082e6e8d45d87
7,0.25,dense_frame,70,17,2a73ae42f1c7b104c9e702088057fb390fc854fa8450dcfad80b6848f9675a0c
7,0.25,multiple_buses,247,61,2b386960bf5d60e67af390c16e031a4d73108bb6dd2485d68d44f96f947df0d5
7,0.25,stopped_vehicles,636,159,25c3828f4d59b19fb7a6a56d036e2c6fb559950180275be290e7411a28c1d448
7,0.25,two_plus_bikes,345,86,01e137e821cdc6c33147ec4cc44b9865c6475f488b3be6874ef6e2b57d845951
8,0.25,parked_vehicle,69,17,41392191b9fe50fca691d22df2ba2c5803c4f272269f2e462e015174fa7a4987
8,0.25,dense_frame,70,17,0875a9cd1d906cb7aa422984903826fd772b2e908829f3f783eef3268d8761c2
8,0.25,multiple_buses,247,61,da65198cd5c644d23d964cd900701e453d49cb232ff70b161b4dde72cf7d3c8c
8,0.25,stopped_vehicles,636,159,3554687193703839931cb7e15a98ad17ae24ff45cf582a65c707b52752b61740
8,0.25,two_plus_bikes,345,86,b6a2f509b5abc07c2c32f5d3b97bcbbca333b7a70b630f2ecedca27aa6baf14e
9,0.25,parked_vehicle,69,17,e97b49d91a6edcc8d52e175e0794e72abafd95cc7ec43bb9d9f1aeee8d684cc8
9,0.25,dense_frame,70,17,28fbda95c36bd53d77233cc87ec08fcdd734fdc1ae7c73079b6ef625b98cf959
9,0.25,multiple_buses,247,61,4a2c00341bfdf88ae953e5cb7f34a49e53829ea663e69d808343b57494106a0c
9,0.25,stopped_vehicles,636,159,d623114e97276a27b4f91482e408c0b831551ecf6465ac1fa000b3eb5c5ac7da
9,0.25,two_plus_bikes,345,86,3200aa2eba685a2decf7e2780b887ce936775600385e47c8737b501074ac3287
10,0.25,parked_vehicle,69,17,16287dddc381fcf2ac62885b8fbc1b0a97afa66876c8950df46be0b145a248bb
10,0.25,dense_frame,70,17,759d7416b10095b71d0d6cd8d4267bc2134982676c5e2a19d1fc0c870286b3fb
10,0.25,multiple_buses,247,61,7f58ece6483fb7eea9a7333366177db56a26081b26efcc722d24ddfe517e9295
10,0.25,stopped_vehicles,636,159,92c29c7e5a7229a840636152a5d242108f87b93c40cdd3915b6f3e679539069b
10,0.25,two_plus_bikes,345,86,dafd059ac15616827066710e387bbb2df2e71ba28bafbffff43bb9bb7af3101d
11,0.25,parked_vehicle,69,17,a3a8439278b7e3c9404e1d3ea35a1ef57e36ed9bb97c7e9a64e088c43d843f59
11,0.25,dense_frame,70,17,8b9dad8ad6ba3da98e6d5afc9f313aee974de65e38c0917a64d5909f3c2f6655
11,0.25,multiple_buses,247,61,bc46d966f347ffadc44f9f83455b9a32437b82ddc219c15d491516c89479abd7
11,0.25,stopped_vehicles,636,159,70d025db15c78fa92c9cb05354e4ab475febe6fc14b4952fc5f9f5a7f91caeaa
11,0.25,two_plus_bikes,345,86,cda9de234be9004f4fcaec07717fc39b93b9ef188233b574d64e557b95c33a20
12,0.25,parked_vehicle,69,17,2da34c8bffee95292dfe81e88d521cf3f2f679f6c6ca85b2b2bd85a92eb578e8
12,0.25,dense_frame,70,17,e42324b1b776d8c1d913063ab2932911e3b65bed06a34186fca04eb3519c8d0a
12,0.25,multiple_buses,247,61,ed3ddd7b5db68a91505b6aff39070f44fb44012f07288aac1d301f9a980c7c7b
12,0.25,stopped_vehicles,636,159,df50a91c9b431a8c5b0598db945e0d1113dce0cf9196bcf89dc7668811d0b45f
12,0.25,two_plus_bikes,345,86,986d84ce8bd865db14c0993627e7edde4612daec8eaaa87e87430bcb871b523f
13,0.25,parked_vehicle,69,17,41e5f9a0668eeab004d5509af8bf24bdabc4e8204970d2f9b15cab10c9225b7a
13,0.25,dense_frame,70,17,ddea2cfe9b75971f1a66ef500325b6494db97095964d8fcb967d43fbb9e11a55
13,0.25,multiple_buses,247,61,3e20dbc8eca1a6203c0ac8852f6dc8232580aca10a5387e254f7838ce774b2bd
13,0.25,stopped_vehicles,636,159,a7acf2f11a3f35ff10ec5c135388119f99bd7734c386b784f053ffb8eae4b651
13,0.25,two_plus_bikes,345,86,1397c126bd855c859520ac6a60ffd621e54de98564897e9a09b481f0dc485c7d
14,0.25,parked_vehicle,69,17,84e74ed9253444d8921f658f24d5843ab1996fb0392392c594d1d30dd6ab080d
14,0.25,dense_frame,70,17,904dd484c430070deb8bd604dfc270a34bf26c90a92b43628113b0546812583e
14,0.25,multiple_buses,247,61,8ce0220bc66de91101c681e8be3dbc84b5aac7cd7b700a50a39c0edb82ca3273
14,0.25,stopped_vehicles,636,159,ee433415dc604500711821bbc8d57145b2fde27cf4afad22b1045f79584238a5
14,0.25,two_plus_bikes,345,86,fa50356f098f773954d1f2e4edeb61dca4ad31b39a905e14e791747319294f7a
15,0.25,parked_vehicle,69,17,42d24b577230747cd620b65ffdd90114818714f881a20e3e5f5a1b25ae420629
15,0.25,dense_frame,70,17,a162a5728c28373d530c0de7f971b02a931e452149538791673e8e21a740a6cd
15,0.25,multiple_buses,247,61,53ecfb98354af5a4b56e22ac2beac7cfa0caad7c2ff80fa519f248a1004a682d
15,0.25,stopped_vehicles,636,159,2e2ed0c7c579651a82be9e798fb1cc5527f0300c2908e444379875909ce2c69e
15,0.25,two_plus_bikes,345,86,24694c8c4363a82eb586716445111d6f0fc353500b0f2d3e3a45fc75eaa3b68d
16,0.25,parked_vehicle,69,17,59c04c30cb4e3781b370997160b4e56344a189d8b0c64613f0efaee2cf50aeb8
16,0.25,dense_frame,70,17,cea35ea0f5df3e4b2d1981a72bbec2520585ee1f8ff23e8d101432601356a220
16,0.25,multiple_buses,247,61,9e3e21822b919ec2af058163353cee50f946b7093b5f799f0c386218fc125054
16,0.25,stopped_vehicles,636,159,f4e4a03782ae75ad710fa8c031272c08adc8b2c6286918a1beee2410a8d62466
16,0.25,two_plus_bikes,345,86,42945e58bb8a3cbd30ddc57696c0f19884c814afaab9d4db0a3d079b20891f6f
17,0.25,parked_vehicle,69,17,9cd081237188cf03acd5d313ac3c1862d22f10f94f24d0a3aa606dcccc26f37d
17,0.25,dense_frame,70,17,21243798a7f30edda0a78e5e49cf6c3042ace64a35d455ab3684e5262af1236b
17,0.25,multiple_buses,247,61,92f97076b304a059884cec23a8f5468cdad3e85802f76eb36661c365493d9079
17,0.25,stopped_vehicles,636,159,dfc0e1b33dbaeb18397fb577047eba8a249228ba0ab3313dba817b186d76f7a4
17,0.25,two_plus_bikes,345,86,7a8d9f56e0bc68091e8f2b412e4db64f1445d478e5c50b66c3dc89e9ef947f88
18,0.25,parked_vehicle,69,17,ffe0903baac22e2973071c0de01299ff6d052d0c483f13f360ed275853abc102
18,0.25,dense_frame,70,17,106ec4b0f91df75150f6122792793d9c0566f754b5a40fa79375abafcf3b3809
18,0.25,multiple_buses,247,61,a134c6e8c73c343b1031881d968b47b87ecbc381ac010b893a89b0568b983c6c
18,0.25,stopped_vehicles,636,159,045b00a1959176d9e764ee0926732d27f820a96872c6adbe36239fdeafdcdd7d
18,0.25,two_plus_bikes,345,86,05e061e100f9ccea598193b684c5dfcff99fe5d7e08f4fb52c8f37a874e5aa4c
19,0.25,parked_vehicle,69,17,da5cfecd507ef0bc3678bc114d1a5e1222b73cf8756ba79b4849ec62e6aacd0a
19,0.25,dense_frame,70,17,d909693e8fee518692c69dede052b54d1f1a9d11e3a765ee5dc2cf438ce988aa
19,0.25,multiple_buses,247,61,e8e86eb98ca5be5056e7fdfd759f2c2994d12b962c0c1d216e6137651be460ef
19,0.25,stopped_vehicles,636,159,ddf114fcdbfd02ddbad129337f215d4721fa87dc39b0022b7785c56ecef727cd
19,0.25,two_plus_bikes,345,86,d0a140b120152d9345d5ac7afb72990c0a83f06ee5bf0c4d860b3cd388116b7b
20,0.25,parked_vehicle,69,17,799fcab442d5a592cc5ce1ea24ae5b9b852833a01e3da49d04c414e2d8b82dc2
20,0.25,dense_frame,70,17,0ce6619fef110ba0fab371401cf69ec9f836225af4d9c84a094511adc6c3739b
20,0.25,multiple_buses,247,61,3b16b3ad155bceb0e9d456dc37984da1ea53509b124bc51a4abcb9ced6657363
20,0.25,stopped_vehicles,636,159,81cbbca42bc0e7398e53e7b220baf06336b568ed859bbf169ea164d4482851a4
20,0.25,two_plus_bikes,345,86,4d0d5c142ae45ef2951dc8d9d92533ce8f377532217897ab1aadb065f580efd2
21,0.25,parked_vehicle,69,17,3ad84fecf032f4864be7173b3315ef66e2d2b6e916477c0dabaed903d0af611a
21,0.25,dense_frame,70,17,060dd3e4c753aab862f1a9cc135ca0735decbb872372a4d06993b45077ec6066
21,0.25,multiple_buses,247,61,92d63a48a7bd8c0f384a8c23fd56da8ae3ecc2ea6cf82e7bbe3f8c368a6fc9d7
21,0.25,stopped_vehicles,636,159,c812080168c472a84438efd4f1c6d1b54b6b234bf91cf129ec73eab8456a1e29
21,0.25,two_plus_bikes,345,86,43f6cc5188124d105f4d17c86957d4ff1541c06184632ae89aa1385648879451
22,0.25,parked_vehicle,69,17,381fc523f27b000237018225ca369a7a986aad9b5445bf57efeaa8c9b7b262d0
22,0.25,dense_frame,70,17,4a03b08041b9334e857a6c4bc1dba320a3c09ee353b27f385c9f766e27fdd45a
22,0.25,multiple_buses,247,61,066a7f21257c2979a7ec68ea98533d2e0a722fa9ba5e406c94d20dfb911b9aba
22,0.25,stopped_vehicles,636,159,ec55e8eec281a3c49253710d784216a2a0d578af15a21a92fb39f57234e33f87
22,0.25,two_plus_bikes,345,86,0154ef24790c922741bacf1e5933e2cc5cc3dfbe3163c8f49178a4846668073d
23,0.25,parked_vehicle,69,17,067a650c31ce28a5fa26d8da9c19c817ab401c8c333f1783ca3801ec9026b2e1
23,0.25,dense_frame,70,17,e4d099015a04a51148c9c4df8ac8b9f98119cc9b66c4b82d2935d1a4bf6c9ebc
23,0.25,multiple_buses,247,61,94f5064d0cbb8b592de6036d10fff1f244fd7d39e2942e510d08fb37fee8ebf4
23,0.25,stopped_vehicles,636,159,5e6c37dfa5788149156e372a6fc5b91651796d481bf8d1678f921fc01cf74b13
23,0.25,two_plus_bikes,345,86,ef1733206145657c56deffacdbad48142ac56e6d173ef3bf2dd0368e0e884564
24,0.25,parked_vehicle,69,17,3c0f99593087ad64ff401c52631e9c601cbe185ffc7414a057c474349d0d77f9
24,0.25,dense_frame,70,17,bc7a78920388c0758e64c9d0e32acfeeb437f9104590c533d33d1c5b6689a88b
24,0.25,multiple_buses,247,61,b0909a26d960341e9f84ab890ac0331ed81d160342972ce8133a2d3574568d3b
24,0.25,stopped_vehicles,636,159,201d07c83d118f8e4e4be3d82cc71f17b9ed76525b50b0862486f24c792a113c
24,0.25,two_plus_bikes,345,86,14cfb57670f9b92275203523184b13357739b85a19ec6fd232aed5d721b064b6
25,0.25,parked_vehicle,69,17,4385829a198663971e2993df72dd1467772f693250421d95061f41c3b4c23bc4
25,0.25,dense_frame,70,17,8fce54eb534f0d214700acb012c3205d39757e814a7634394e9870ff0d8b3003
25,0.25,multiple_buses,247,61,e8d4406841afff529b9b0cb37e8fc7de531ec3119792dbcb6e7cb6aa0fcfb450
25,0.25,stopped_vehicles,636,159,559c58f4670d88ce9764bdc05e51a6914dbcea4099f4f70a5adf638d88bb0a2a
25,0.25,two_plus_bikes,345,86,022688533041107a694f40ccef605e8ba2d8b201fdbcc2737bddb876eb9f7ff4
