query_id,relevance_def,difficulty,cluster
522vis:low:0001,parked_vehicle,time_of_day,parked_vehicle|time_of_day
522vis:low:0002,parked_vehicle,time_of_day,parked_vehicle|time_of_day
522vis:low:0003,dense_frame,time_of_day,dense_frame|time_of_day
522vis:low:0004,dense_frame,time_of_day,dense_frame|time_of_day
522vis:low:0005,dense_frame,time_of_day,dense_frame|time_of_day
522vis:low:0006,multiple_buses,time_of_day,multiple_buses|time_of_day
522vis:low:0007,multiple_buses,time_of_day,multiple_buses|time_of_day
522vis:low:0008,multiple_buses,time_of_day,multiple_buses|time_of_day
522vis:contrast:0009,stopped_vehicles,time_of_day,stopped_vehicles|time_of_day
522vis:contrast:0010,stopped_vehicles,time_of_day,stopped_vehicles|time_of_day
522vis:low:0011,two_plus_bikes,time_of_day,two_plus_bikes|time_of_day
522vis:low:0012,two_plus_bikes,time_of_day,two_plus_bikes|time_of_day
522vis:low:0013,two_plus_bikes,time_of_day,two_plus_bikes|time_of_day
522vis:low:0014,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0015,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0016,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0017,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0018,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0019,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0020,dense_frame,hour,dense_frame|hour
522vis:low:0021,dense_frame,hour,dense_frame|hour
522vis:low:0022,dense_frame,hour,dense_frame|hour
522vis:low:0023,dense_frame,hour,dense_frame|hour
522vis:low:0024,dense_frame,hour,dense_frame|hour
522vis:low:0025,multiple_buses,hour,multiple_buses|hour
522vis:low:0026,multiple_buses,hour,multiple_buses|hour
522vis:low:0027,multiple_buses,hour,multiple_buses|hour
522vis:low:0028,multiple_buses,hour,multiple_buses|hour
522vis:low:0029,multiple_buses,hour,multiple_buses|hour
522vis:low:0030,multiple_buses,hour,multiple_buses|hour
522vis:low:0031,multiple_buses,hour,multiple_buses|hour
522vis:low:0032,multiple_buses,hour,multiple_buses|hour
522vis:low:0033,multiple_buses,hour,multiple_buses|hour
522vis:low:0034,multiple_buses,hour,multiple_buses|hour
522vis:contrast:0035,stopped_vehicles,hour,stopped_vehicles|hour
522vis:contrast:0036,stopped_vehicles,hour,stopped_vehicles|hour
522vis:contrast:0037,stopped_vehicles,hour,stopped_vehicles|hour
522vis:contrast:0038,stopped_vehicles,hour,stopped_vehicles|hour
522vis:contrast:0039,stopped_vehicles,hour,stopped_vehicles|hour
522vis:contrast:0040,stopped_vehicles,hour,stopped_vehicles|hour
522vis:contrast:0041,stopped_vehicles,hour,stopped_vehicles|hour
522vis:contrast:0042,stopped_vehicles,hour,stopped_vehicles|hour
522vis:low:0043,two_plus_bikes,hour,two_plus_bikes|hour
522vis:low:0044,two_plus_bikes,hour,two_plus_bikes|hour
