strategy,scoring,metric,task_aware,task_neutral,neutral_minus_aware,family_cluster_ci_lo,family_cluster_ci_hi,family_cluster_signflip_p,is_primary,holm_p_secondary_family
B2_vector_only,semantic,ndcg_at_10,0.17003348904727908,0.08550832450219988,-0.08452516454507923,-0.1672356891913707,-0.004363106530454676,0.034596540345965404,True,
B2_vector_only,semantic,mrr,0.30663923383455854,0.22810437255938987,-0.07853486127516865,-0.21688657901447442,0.06913363626797864,0.26107389261073893,False,1.0
B2_vector_only,semantic,recall_at_20,0.01463608622333863,0.012818993519232514,-0.0018170927041061165,-0.0067910534155257935,0.003334588497881868,0.8699130086991301,False,1.0
B2_vector_only,strict,ndcg_at_10,0.05883920074255567,0.02309854865881171,-0.03574065208374396,-0.06252872210380024,-0.012730031232107353,0.014098590140985901,False,0.15508449155084492
B2_vector_only,strict,mrr,0.154823503668307,0.07914865308415342,-0.07567485058415359,-0.1402610078284294,-0.017354206573716183,0.039896010398960104,False,0.398960103989601
B2_vector_only,strict,recall_at_20,0.017312467213338335,0.019632653069648214,0.002320185856309883,-0.003674864588269508,0.008570364548562429,0.6541345865413458,False,1.0
B4_prefilter_vector,semantic,ndcg_at_10,0.15426772175074893,0.14738523867832004,-0.0068824830724289006,-0.046761502356901186,0.028509069992068488,0.4978502149785021,False,1.0
B4_prefilter_vector,semantic,mrr,0.3031999853448434,0.2977826431060266,-0.005417342238816749,-0.10826443603284949,0.08905236744939536,0.6662333766623337,False,1.0
B4_prefilter_vector,semantic,recall_at_20,0.012781599971145275,0.015283371086076955,0.002501771114931677,-0.0015589031830216642,0.006485168108089877,0.3197680231976802,False,1.0
B4_prefilter_vector,strict,ndcg_at_10,0.15710378667368133,0.14920278050495092,-0.007901006168730445,-0.04958176026710461,0.029087795036649034,0.48925107489251074,False,1.0
B4_prefilter_vector,strict,mrr,0.3031999853448434,0.2977826431060266,-0.005417342238816749,-0.10826443603284949,0.08905236744939536,0.662933706629337,False,1.0
B4_prefilter_vector,strict,recall_at_20,0.07957934934785574,0.09826484344916857,0.018685494101312834,-0.0011486086389900561,0.03923427882316045,0.04559544045595441,False,0.4103589641035897
