family,predicate,relevance_def,mean_train_cramers_v,mean_delta_b4_b2,eligible_queries,folds_with_support,v_band
hour::dense_frame,hour,dense_frame,0.09662777190578072,-0.0027001809711808527,20,4,low
hour::multiple_buses,hour,multiple_buses,0.04516555692914938,-0.08072938753483419,50,5,low
hour::parked_vehicle,hour,parked_vehicle,0.13363097837088453,-0.015055974924156534,30,5,low
hour::stopped_vehicles,hour,stopped_vehicles,0.44781523347690405,0.1162524067856228,37,5,high
hour::two_plus_bikes,hour,two_plus_bikes,0.2088270646558023,0.0354376915470348,52,5,mid
sig_has_pedestrian::dense_frame,sig_has_pedestrian,dense_frame,0.05648001818008983,-0.02669973212226592,8,4,low
sig_has_pedestrian::multiple_buses,sig_has_pedestrian,multiple_buses,0.06115477779953845,-0.03288349524893352,10,5,low
sig_has_pedestrian::parked_vehicle,sig_has_pedestrian,parked_vehicle,0.02521420695362785,0.016354138662029637,10,5,low
sig_has_pedestrian::stopped_vehicles,sig_has_pedestrian,stopped_vehicles,0.06402133866512702,-0.0008154025691735816,10,5,low
sig_has_pedestrian::two_plus_bikes,sig_has_pedestrian,two_plus_bikes,0.031107748615043028,-0.00697911437402928,10,5,low
sig_has_yellow::dense_frame,sig_has_yellow,dense_frame,0.09216238397843383,0.015905197049737932,4,4,low
sig_has_yellow::multiple_buses,sig_has_yellow,multiple_buses,0.08647966067417016,-0.0536573966860525,10,5,low
sig_has_yellow::parked_vehicle,sig_has_yellow,parked_vehicle,0.02822680415815738,0.0032466841077744544,10,5,low
sig_has_yellow::stopped_vehicles,sig_has_yellow,stopped_vehicles,0.0,-0.008643793652845757,10,5,low
sig_has_yellow::two_plus_bikes,sig_has_yellow,two_plus_bikes,0.08987115300706942,0.023703124430785517,10,5,low
time_of_day::dense_frame,time_of_day,dense_frame,0.0537539403648334,0.002348776199974213,12,4,low
time_of_day::multiple_buses,time_of_day,multiple_buses,0.0,-0.1371794211012213,15,5,low
time_of_day::parked_vehicle,time_of_day,parked_vehicle,0.10567050987114494,0.009223391134110463,10,5,low
time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,0.3992808300027036,0.24297036019610455,10,5,high
time_of_day::two_plus_bikes,time_of_day,two_plus_bikes,0.2090417612292111,-0.022725636192785507,15,5,mid
veh_density_bin::dense_frame,veh_density_bin,dense_frame,0.19686504385643797,0.0,4,4,mid
veh_density_bin::multiple_buses,veh_density_bin,multiple_buses,0.21043951734419877,-0.07147011606864065,15,5,mid
veh_density_bin::parked_vehicle,veh_density_bin,parked_vehicle,0.004039305968286054,0.005901570247091388,15,5,low
veh_density_bin::stopped_vehicles,veh_density_bin,stopped_vehicles,0.0,-0.028228220755144272,15,5,low
veh_density_bin::two_plus_bikes,veh_density_bin,two_plus_bikes,0.13620760876438626,0.036887708255051097,15,5,low
