corpus,method,mask_type,name,repeat,anchor,selectivity_target,concentration,count,selectivity,mask_sha256,mean_recall_at_10,recall_loss,queries_below_full_recall,kprime,mean_pairwise_cosine,gt_mode,exact_top_l,coverage_failure_fraction
A,hnsw,natural,location==BC2000801,,,,,11455,0.08643913040197403,90f722bfdf486d1e860dc47f8ac56073fe1085c678a316ed7aa21c0e4f1c6d25,0.13369999825954437,0.8662999868392944,881,464,0.8828299923881551,global_top_l_filter,40000,0.0
A,hnsw,shuffle,location==BC2000801,0.0,,,,11455,0.08643913040197403,04e9d3cfdf230424574f8100691b253836d32a2510a13057a4b0930c70955486,0.9708999395370483,0.02910006046295166,223,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,1.0,,,,11455,0.08643913040197403,c54be9c0a97a006de0b341a3843861d5eb7b59e1a3f9f7c7bf721dd85dbb00d8,0.9726999998092651,0.027300000190734863,194,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,2.0,,,,11455,0.08643913040197403,73f6e60968c15f05eebf9b17012724d3d0bc3123a04ea35a79a6adff69cfdd65,0.9710000157356262,0.02899998426437378,211,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,3.0,,,,11455,0.08643913040197403,6a3dca44c51cbe1ab924e478469b9556e4bcf95097b90ae0784bcf23f776f813,0.9722000360488892,0.02779996395111084,201,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,4.0,,,,11455,0.08643913040197403,638e846e514aa09f5d2e6a050fe732d55456c7fca3a946b82e87353270950b21,0.9764999747276306,0.023500025272369385,185,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,5.0,,,,11455,0.08643913040197403,8960f87754df22230fe9e04c636af769b571f97bba65db3548eed4a61428f4cd,0.9740999937057495,0.02590000629425049,196,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,6.0,,,,11455,0.08643913040197403,7b719c75babacd156a4e9fca5cee584530d2f50827a63eb57109d1182ce22992,0.9721999764442444,0.027800023555755615,193,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,7.0,,,,11455,0.08643913040197403,62828526fbfe7b8f114c4ebbc78d242ea38f2b5dce97f44bdc6259923992a6d4,0.9722999930381775,0.02770000696182251,213,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,8.0,,,,11455,0.08643913040197403,4ee499d4ed92d6b3e6a2103df2ba0e6cf891efa42dd0b26292c5c9e345ad65d4,0.9695000052452087,0.03049999475479126,224,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,9.0,,,,11455,0.08643913040197403,8594c51ead5c2f0a2ab69dd75b6cd574c9c826b36f937c5f5861fcfabb2f2463,0.9736999273300171,0.02630007266998291,197,464,,global_top_l_filter,5000,0.0
